"","kingdom","phylum","order","family","genus"
"ASV1","Bacteria","Proteobacteria","Enterobacterales","Yersiniaceae","Rahnella"
"ASV10","Bacteria","Firmicutes","Lactobacillales","Enterococcaceae","Enterococcus"
"ASV1000","Bacteria","Tenericutes","Entomoplasmatales","Entomoplasmataceae","Mesoplasma"
"ASV10005","Bacteria","Proteobacteria","Neisseriales","Chromobacteriaceae","Vogesella"
"ASV1002","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV1004","Bacteria","Proteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia"
"ASV1005","Bacteria","Firmicutes","Clostridiales","Clostridiaceae","Clostridium"
"ASV1006","Bacteria","Fusobacteria","Fusobacteriales","Fusobacteriaceae","Cetobacterium"
"ASV1007","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotella"
"ASV10098","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV1012","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV1013","Bacteria","Firmicutes","Clostridiales","Peptoniphilaceae","Peptoniphilus"
"ASV1017","Bacteria","Proteobacteria","Orbales","Orbaceae","Gilliamella"
"ASV1019","Bacteria","Actinobacteria","Micrococcales","Micrococcaceae","Nesterenkonia"
"ASV102","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter"
"ASV1020","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Pectinatus"
"ASV1021","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotella"
"ASV1024","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotella"
"ASV1026","Bacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter"
"ASV103","Bacteria","Proteobacteria","Oceanospirillales","Halomonadaceae","Halotalea"
"ASV1030","Bacteria","Proteobacteria","Rhizobiales","Rhizobiales spc","Rhizobiales spc"
"ASV10310","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV10343","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Selenomonadaceae spc"
"ASV1035","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV1036","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Philodulcilactobacillus"
"ASV1038","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter"
"ASV1039","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotella"
"ASV104","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Philodulcilactobacillus"
"ASV1040","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Leuconostoc"
"ASV1041","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotella"
"ASV1043","Bacteria","Actinobacteria","Coriobacteriales","Atopobiaceae","Atopobiaceae spc"
"ASV1044","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV1045","Bacteria","Proteobacteria","Oceanospirillales","Halomonadaceae","Carnimonas"
"ASV1046","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Bombilactobacillus"
"ASV1047","Bacteria","Tenericutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma"
"ASV1048","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV1049","Bacteria","Actinobacteria","Coriobacteriales","Coriobacteriales spc","Coriobacteriales spc"
"ASV105","Bacteria","Proteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
"ASV1050","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Pectinatus"
"ASV1051","Bacteria","Tenericutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma"
"ASV10523","Bacteria","Proteobacteria","Orbales","Orbaceae","Frischella"
"ASV1053","Bacteria","Actinobacteria","Micrococcales","Micrococcaceae","Nesterenkonia"
"ASV1054","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Leuconostoc"
"ASV1055","Bacteria","Proteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia"
"ASV1056","Bacteria","Proteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium"
"ASV1058","Bacteria","Firmicutes","Clostridiales","Clostridiaceae","Clostridium"
"ASV10612","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Fructobacillus"
"ASV1063","Bacteria","Bacteroidetes","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV1064","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Bombilactobacillus"
"ASV1065","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Pectinatus"
"ASV1066","Bacteria","Bacteroidetes","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV10680","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Leuconostoc"
"ASV10693","Bacteria","Actinobacteria","Coriobacteriales","Coriobacteriales spc","Coriobacteriales spc"
"ASV1070","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Bombilactobacillus"
"ASV1072","Bacteria","Proteobacteria","Rickettsiales","Rickettsiales Incertae Sedis","Candidatus-Hepatincola"
"ASV1073","Bacteria","Proteobacteria","Enterobacterales","Morganellaceae","Providencia"
"ASV1074","Bacteria","Bacteroidetes","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV1077","Bacteria","Firmicutes","Clostridiales","Ruminococcaceae","Candidatus-Soleaferrea"
"ASV108","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV1080","Bacteria","Proteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"ASV1081","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Companilactobacillus"
"ASV1084","Bacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"ASV10847","Bacteria","Firmicutes","Bacillales","Bacillaceae","Bacillus"
"ASV1085","Bacteria","Proteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
"ASV1088","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV10884","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillaceae spc"
"ASV109","Bacteria","Firmicutes","Lactobacillales","Enterococcaceae","Vagococcus"
"ASV10907","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV1091","Bacteria","Proteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"ASV10926","Bacteria","Proteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter"
"ASV1094","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV1096","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV1097","Bacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium"
"ASV10973","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV1098","Bacteria","Bacteroidetes","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"ASV11","Bacteria","Firmicutes","Bacillales","Staphylococcaceae","Staphylococcus"
"ASV110","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV1100","Bacteria","Proteobacteria","Hyphomicrobiales","Lichenibacteriaceae","Lichenibacteriaceae spc"
"ASV1101","Bacteria","Firmicutes","Clostridiales","Ruminococcaceae","Ruminococcaceae spc"
"ASV1102","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Komagataeibacter"
"ASV11037","Bacteria","Proteobacteria","Orbales","Orbaceae","Orbus"
"ASV1105","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lacticaseibacillus"
"ASV1106","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillaceae spc"
"ASV1109","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"ASV111","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Neokomagataea"
"ASV1111","Bacteria","Proteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia"
"ASV1112","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV1113","Bacteria","Firmicutes","Clostridiales","Lachnospiraceae","Blautia"
"ASV11145","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Weissella"
"ASV1115","Bacteria","Firmicutes","Clostridiales","Peptoniphilaceae","Peptoniphilaceae spc"
"ASV1119","Bacteria","Proteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
"ASV112","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Pectinatus"
"ASV1120","Bacteria","Firmicutes","Bacillales","Bacillales Incertae Sedis XII","Exiguobacterium"
"ASV1122","Bacteria","Bacteroidetes","Flavobacteriales","Flavobacteriales spc","Flavobacteriales spc"
"ASV11223","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV11233","Bacteria","Proteobacteria","Orbales","Orbaceae","Orbus"
"ASV1124","Bacteria","Proteobacteria","Xanthomonadales","Xanthomonadaceae","Wohlfahrtiimonas"
"ASV11249","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Bombilactobacillus"
"ASV1129","Bacteria","Actinobacteria","Mycobacteriales","Gordoniaceae","Gordonia"
"ASV113","Bacteria","Proteobacteria","Holosporales","Holosporaceae","Holosporaceae spc"
"ASV1131","Bacteria","Proteobacteria","Orbales","Orbaceae","Gilliamella"
"ASV1136","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV1137","Bacteria","Proteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia"
"ASV1139","Bacteria","Proteobacteria","Hyphomicrobiales","Lichenibacteriaceae","Lichenibacteriaceae spc"
"ASV1140","Bacteria","Bacteroidetes","Bacteroidales","Porphyromonadaceae","Tannerella"
"ASV1141","Bacteria","Actinobacteria","Micrococcales","Micrococcaceae","Nesterenkonia"
"ASV1142","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Pectinatus"
"ASV1143","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV1144","Bacteria","Proteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia"
"ASV1145","Bacteria","Proteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"ASV11462","Bacteria","Firmicutes","Lactobacillales","Enterococcaceae","Enterococcus"
"ASV1147","Bacteria","Bacteroidetes","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"ASV1148","Bacteria","Proteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia"
"ASV115","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Pectinatus"
"ASV1150","Bacteria","Proteobacteria","Oceanospirillales","Halomonadaceae","Zymobacter"
"ASV1153","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotella"
"ASV1154","Bacteria","Bacteroidetes","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV11543","Bacteria","Proteobacteria","Enterobacterales","Enterobacterales spc","Enterobacterales spc"
"ASV1155","Bacteria","Proteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium"
"ASV1157","Bacteria","Verrucomicrobia","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacteraceae family"
"ASV11580","Bacteria","Proteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
"ASV11581","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Fructobacillus"
"ASV1159","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Oecophyllibacter"
"ASV116","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Saccharibacter"
"ASV1160","Bacteria","Firmicutes","Clostridiales","Clostridiaceae","Clostridiaceae spc"
"ASV11608","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV1161","Bacteria","Firmicutes","Bacillales","Paenibacillaceae","Paenibacillus"
"ASV1162","Bacteria","Bacteroidetes","Flavobacteriales","Weeksellaceae","Algoriella"
"ASV11629","Bacteria","Proteobacteria","Enterobacterales","Erwiniaceae","Erwinia"
"ASV1163","Bacteria","Proteobacteria","Enterobacterales","Enterobacteriaceae","Izhakiella"
"ASV11631","Bacteria","Proteobacteria","Enterobacterales","Enterobacterales spc","Enterobacterales spc"
"ASV1164","Bacteria","Actinobacteria","Mycobacteriales","Gordoniaceae","Gordonia"
"ASV1166","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lacticaseibacillus"
"ASV1167","Bacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium"
"ASV1168","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV117","Bacteria","Firmicutes","Bacillales","Staphylococcaceae","Staphylococcus"
"ASV1173","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Ligilactobacillus"
"ASV11738","Bacteria","Tenericutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma"
"ASV1174","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"ASV1175","Bacteria","Actinobacteria","Coriobacteriales","Atopobiaceae","Atopobiaceae spc"
"ASV11758","Bacteria","Proteobacteria","Orbales","Orbaceae","Orbus"
"ASV1176","Bacteria","Proteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"ASV1177","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Anaerovibrio"
"ASV1178","Bacteria","Proteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonadaceae spc"
"ASV118","Bacteria","Firmicutes","Bacillales","Staphylococcaceae","Mammaliicoccus"
"ASV1180","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Tanticharoenia"
"ASV11804","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV1183","Bacteria","Bacteroidetes","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"ASV1184","Bacteria","Firmicutes","Lactobacillales","Streptococcaceae","Floricoccus"
"ASV1186","Bacteria","Bacteroidetes","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"ASV11861","Bacteria","Proteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"ASV1188","Bacteria","Firmicutes","Clostridiales","Clostridiales spc","Clostridiales spc"
"ASV119","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Fructobacillus"
"ASV1192","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV11929","Bacteria","Firmicutes","Bacillales","Staphylococcaceae","Staphylococcus"
"ASV1195","Bacteria","Bacteroidetes","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV1196","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter"
"ASV11960","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Fructobacillus"
"ASV1197","Bacteria","Proteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia"
"ASV11975","Bacteria","Firmicutes","Lactobacillales","Streptococcaceae","Lactococcus"
"ASV1198","Bacteria","Proteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium"
"ASV11982","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV11986","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV1199","Bacteria","Bacteroidetes","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV12","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Apilactobacillus"
"ASV120","Bacteria","Proteobacteria","Enterobacterales","Morganellaceae","Providencia"
"ASV1200","Bacteria","Proteobacteria","Rhizobiales","Bartonellaceae","Bartonella"
"ASV12005","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV12015","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV1205","Bacteria","Proteobacteria","Enterobacterales","Morganellaceae","Arsenophonus"
"ASV1206","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV12064","Bacteria","Proteobacteria","Rhizobiales","Bartonellaceae","Bartonella"
"ASV1208","Bacteria","Firmicutes","Clostridiales","Ruminococcaceae","Ruminococcaceae spc"
"ASV12089","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV1209","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"ASV121","Bacteria","Bacteroidetes","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV12119","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV1214","Bacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"ASV1216","Bacteria","Firmicutes","Clostridiales","Ruminococcaceae","Ruminococcaceae spc"
"ASV12164","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter"
"ASV1218","Bacteria","Proteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium"
"ASV1219","Bacteria","Proteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV122","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter"
"ASV1220","Bacteria","Proteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV12208","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Saccharibacter"
"ASV1221","Bacteria","Bacteroidetes","Flavobacteriales","Flavobacteriaceae","Myroides"
"ASV1222","Bacteria","Firmicutes","Veillonellales","Veillonellaceae","Megasphaera"
"ASV1223","Bacteria","Proteobacteria","Neisseriales","Neisseriaceae","Vitreoscilla"
"ASV12236","Bacteria","Bacteroidetes","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"ASV1226","Bacteria","Tenericutes","Entomoplasmatales","Entomoplasmataceae","Mesoplasma"
"ASV1227","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacteriaceae spc"
"ASV123","Bacteria","Bacteroidetes","Flavobacteriales","Weeksellaceae","Empedobacter"
"ASV1230","Bacteria","Proteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV12313","Bacteria","Firmicutes","Bacillales","Staphylococcaceae","Staphylococcus"
"ASV1232","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV1233","Bacteria","Proteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV1234","Bacteria","Proteobacteria","Orbales","Orbaceae","Gilliamella"
"ASV1235","Bacteria","Firmicutes","Veillonellales","Veillonellaceae","Veillonella"
"ASV1238","Bacteria","Proteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV124","Bacteria","Proteobacteria","Enterobacterales","Morganellaceae","Providencia"
"ASV1240","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Selenomonadaceae spc"
"ASV1241","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Pectinatus"
"ASV1244","Bacteria","Proteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas"
"ASV1245","Bacteria","Planctomycetes","Planctomycetales","Planctomycetaceae","Planctomyces"
"ASV1246","Bacteria","Firmicutes","Clostridiales","Clostridiaceae","Clostridium"
"ASV12488","Bacteria","Firmicutes","Lactobacillales","Enterococcaceae","Enterococcus"
"ASV125","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Fructobacillus"
"ASV1250","Bacteria","Actinobacteria","Coriobacteriales","Atopobiaceae","Atopobium"
"ASV1253","Bacteria","Actinobacteria","Coriobacteriales","Atopobiaceae","Atopobium"
"ASV12538","Bacteria","Proteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"ASV1254","Bacteria","Bacteroidetes","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV12542","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Bombilactobacillus"
"ASV1255","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV1256","Bacteria","Verrucomicrobia","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacteraceae family"
"ASV1257","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV1259","Bacteria","Proteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella"
"ASV126","Bacteria","Bacteroidetes","Flavobacteriales","Weeksellaceae","Apibacter"
"ASV1262","Bacteria","Proteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"ASV12620","Bacteria","Proteobacteria","Oceanospirillales","Halomonadaceae","Halomonadaceae spc"
"ASV12621","Bacteria","Proteobacteria","Enterobacterales","Morganellaceae","Morganella"
"ASV1263","Bacteria","Bacteroidetes","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV1265","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV12662","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV12666","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV1267","Bacteria","Firmicutes","Clostridiales","Clostridiaceae","Clostridium"
"ASV12670","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Fructobacillus"
"ASV1268","Bacteria","Firmicutes","Lactobacillales","Streptococcaceae","Streptococcus"
"ASV1269","Bacteria","Actinobacteria","Mycobacteriales","Mycobacteriales spc","Mycobacteriales spc"
"ASV127","Bacteria","Firmicutes","Lactobacillales","Streptococcaceae","Lactococcus"
"ASV1270","Bacteria","Proteobacteria","Xanthomonadales","Xanthomonadaceae","Wohlfahrtiimonas"
"ASV1272","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Furfurilactobacillus"
"ASV1273","Bacteria","Tenericutes","Entomoplasmatales","Entomoplasmataceae","Mesoplasma"
"ASV1274","Bacteria","Firmicutes","Clostridiales","Clostridiales spc","Clostridiales spc"
"ASV1276","Bacteria","Firmicutes","Clostridiales","Ruminococcaceae","Ruminococcaceae spc"
"ASV12764","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Bombella"
"ASV12779","Bacteria","Proteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella"
"ASV1279","Bacteria","Firmicutes","Bacillales","Planococcaceae","Solibacillus"
"ASV1286","Bacteria","Bacteroidetes","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV12874","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV12889","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Saccharibacter"
"ASV1289","Bacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter"
"ASV129","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactiplantibacillus"
"ASV1291","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV1294","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV1296","Bacteria","Bacteroidetes","Flavobacteriales","Flavobacteriales spc","Flavobacteriales spc"
"ASV12967","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV12985","Bacteria","Firmicutes","Lactobacillales","Enterococcaceae","Tetragenococcus"
"ASV12987","Bacteria","Proteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium"
"ASV13","Bacteria","Proteobacteria","Enterobacterales","Yersiniaceae","Serratia"
"ASV130","Bacteria","Bacteroidetes","Flavobacteriales","Weeksellaceae","Apibacter"
"ASV1301","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Fructilactobacillus"
"ASV13019","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV1302","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotella"
"ASV1304","Bacteria","Proteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"ASV13050","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Fructobacillus"
"ASV13087","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Bombella"
"ASV131","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV1311","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV1312","Bacteria","Bacteroidetes","Flavobacteriales","Weeksellaceae","Algoriella"
"ASV1316","Bacteria","Proteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV13165","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Ligilactobacillus"
"ASV1317","Bacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"ASV1318","Bacteria","Firmicutes","Lactobacillales","Aerococcaceae","Aerococcus"
"ASV1319","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacteraceae spc"
"ASV132","Bacteria","Proteobacteria","Oceanospirillales","Halomonadaceae","Halotalea"
"ASV1320","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium"
"ASV1321","Bacteria","Proteobacteria","Orbales","Orbaceae","Orbus"
"ASV1323","Bacteria","Proteobacteria","Enterobacterales","Pectobacteriaceae","Sodalis"
"ASV13239","Bacteria","Proteobacteria","Enterobacterales","Enterobacterales spc","Enterobacterales spc"
"ASV13245","Bacteria","Firmicutes","Clostridiales","Ruminococcaceae","Faecalibacterium"
"ASV1325","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Furfurilactobacillus"
"ASV1327","Bacteria","Bacteroidetes","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV133","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Leuconostoc"
"ASV1331","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Pectinatus"
"ASV1336","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotella"
"ASV13369","Bacteria","Proteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
"ASV13371","Bacteria","Firmicutes","Lactobacillales","Enterococcaceae","Enterococcus"
"ASV134","Bacteria","Firmicutes","Lactobacillales","Enterococcaceae","Vagococcus"
"ASV1343","Bacteria","Proteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
"ASV1344","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Anaerovibrio"
"ASV1345","Bacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"ASV13467","Bacteria","Proteobacteria","Enterobacterales","Hafniaceae","Hafnia"
"ASV135","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Bombella"
"ASV13508","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV13527","Bacteria","Proteobacteria","Enterobacterales","Erwiniaceae","Tatumella"
"ASV1353","Bacteria","Proteobacteria","Hyphomicrobiales","Lichenibacteriaceae","Lichenibacteriaceae spc"
"ASV1354","Bacteria","Firmicutes","Clostridiales","Clostridiaceae","Clostridium"
"ASV13568","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV1357","Bacteria","Actinobacteria","Actinomycetales","Arcanobacteriaceae","Arcanobacteriaceae spc"
"ASV1359","Bacteria","Proteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
